Year,Solar photovoltaic module price
1975,125.83
1976,94.67
1977,69.07
1978,48.86
1979,41.06
1980,34.79
1981,27.82
1982,24.99
1983,20.17
1984,18.75
1985,16.36
1986,13.54
1987,11.51
1988,10.75
1989,11.11
1990,11.49
1991,10.64
1992,9.91
1993,9.27
1994,8.77
1995,8.11
1996,7.58
1997,7.55
1998,6.81
1999,6.29
2000,6.17
2001,5.97
2002,5.46
2003,5.19
2004,4.34
2005,4.39
2006,4.79
2007,4.82
2008,4.39
2009,2.93
2010,2.31
2011,1.89
2012,1.02
2013,0.78
2014,0.72
2015,0.67
2016,0.62
2017,0.52
2018,0.46
2019,0.42
2020,0.33
2021,0.26
2022,0.25