985,32,321675013,China,1800
985,32,350542958,China,1810
985,32,380055273,China,1820
986,32,402373519,China,1830
986,32,411213424,China,1840
985,32,402711280,China,1850
1023,28.85,380047548,China,1860
1099,31.95714286,363661158,China,1870
1015,32,365544192,China,1880
918,32,377135349,China,1890
894,32,395184556,China,1900
991,32,417830774,China,1910
1012,32,462750597,China,1920
1055,33.26984,481222579,China,1930
841,33.30311174,509858820,China,1940
535,39.9994,544112923,China,1950
582,40.936264,558820362,China,1951
631,41.873128,570764965,China,1952
692,42.809992,580886559,China,1953
694,44.663056,589955812,China,1954
706,46.1666,598574241,China,1955
736,48.536704,607167524,China,1956
780,48.587368,615992182,China,1957
889,48.143792,625155626,China,1958
958,36.336856,634649557,China,1959
889,29.51112,644450173,China,1960
558,31.930824,654625069,China,1961
567,42.274688,665426760,China,1962
635,49.619432,677332765,China,1963
713,50.988016,690932043,China,1964
772,53.26108,706590947,China,1965
826,54.364464,724490033,China,1966
719,55.889368,744365635,China,1967
669,56.860432,765570668,China,1968
732,58.367416,787191243,China,1969
848,60,808510713,China,1970
876,60.6,829367784,China,1971
843,61.1,849787991,China,1972
894,61.7,869474823,China,1973
888,62.1,888132761,China,1974
920,62.6,905580445,China,1975
891,62.4,921688199,China,1976
904,63.3,936554514,China,1977
1016,63.7,950537317,China,1978
1059,64,964155176,China,1979
1073,64.5,977837433,China,1980
1099,64.8,991553829,China,1981
1175,65.2,1005328574,China,1982
1229,65.6,1019698475,China,1983
1456,66,1035328572,China,1984
1557,66.4,1052622410,China,1985
1604,66.8,1071834975,China,1986
1652,67.2,1092646739,China,1987
1597,67.5,1114162025,China,1988
1474,67.7,1135128009,China,1989
1516,68,1154605773,China,1990
1634,68.3,1172327831,China,1991
1845,68.6,1188450231,China,1992
2078,68.9,1202982955,China,1993
2323,69.3,1216067023,China,1994
2551,69.6,1227841281,China,1995
2775,69.9,1238234851,China,1996
3000,70.3,1247259143,China,1997
3205,70.7,1255262566,China,1998
3419,71.1,1262713651,China,1999
3678,71.5,1269974572,China,2000
3955,71.9,1277188787,China,2001
4285,72.4,1284349938,China,2002
4685,72.9,1291485488,China,2003
5127,73.4,1298573031,China,2004
5675,73.9,1305600630,China,2005
6360,74.4,1312600877,China,2006
7225,74.9,1319625197,China,2007
7880,75.1,1326690636,China,2008
8565,75.6,1333807063,China,2009
9430,75.9,1340968737,China,2010
10274,76.1,1348174478,China,2011
11017,76.3,1355386952,China,2012
11805,76.5,1362514260,China,2013
12609,76.7,1369435670,China,2014
13334,76.9,1376048943,China,2015